sku,use_type,use_duration
405,Solución,Higienização
43-02,Solución,Higienização
205,Miopía e Hipermetropía,Mensual
341-P,Insumos,Insumos
450010818,Óculos,Receituário
310000118-P,Óculos,Receituário
410004118-P,Óculos,Receituário
210000318-p,Óculos,Receituário
22115,Óculos,Receituário
451550318,Óculos,Receituário
451496318,Óculos,Receituário
451550306-P,Óculos,Solar
450601324-P,Óculos,Solar
210001403-P,Óculos,Solar
450601425-P,Óculos,Solar
400001606-p,Óculos,Solar
204,Formulado,Anual
203,Formulado,Mensual
246,Astigmatismo,Mensual
3101,Acessórios,Acessórios
352,Insumos,Insumos
2130,Solución,Higienização
32,Astigmatismo,Mensual
301,Astigmatismo,Quincenal
203SEMGRAU,Sem Grau,Mensual
245,Miopía e Hipermetropía,Mensual
317,Astigmatismo,Mensual
353,Sem Grau,Mensual
461850601-P,Óculos,Solar
203,Formulado,Mensual
480,Miopía e Hipermetropía,Mensual
204SEMGRAU,Sem Grau,Anual
357,Sem Grau,Diario
457410706-P,Óculos,Solar
201,Formulado,Anual
34,Astigmatismo,Anual
201SEMGRAU,Sem Grau,Anual
200,Sem Grau,Mensual
206SEMGRAU07,Sem Grau,Anual
460018507-P,Óculos,Solar
457702306-P,Óculos,Solar
235SEMGRAU,Sem Grau,Mensual
462449018-P,Óculos,Receituário
354,Acessórios,Acessórios
450212201-P,Óculos,Solar
462300118-P,Óculos,Receituário
2433122-P,Acessórios,Acessórios
451612201-p,Óculos,Solar
248,Miopía e Hipermetropía,Diario
206,Formulado,Anual
210045618,Óculos,Receituário
451612418-p,Óculos,Receituário
34,Astigmatismo,Anual
457547118-P,Óculos,Receituário
410050518-P,Óculos,Receituário
457410802-P,Óculos,Solar
463253618-P,Óculos,Receituário
463453918-P,Óculos,Receituário
460245504-P,Óculos,Solar
458629303-P,Óculos,Solar
450112418-P,Óculos,Receituário
451501231-p,Óculos,Solar
463501401-P,Óculos,Solar
458700318-P,Óculos,Receituário
450112201-P,Óculos,Solar
457801401-P,Óculos,Solar
458547701-P,Óculos,Solar
230029901-P,Óculos,Solar
460204118-P,Óculos,Receituário
320028318-P,Óculos,Receituário
463351940-P,Óculos,Solar
2433121-P,Acessórios,Acessórios
459548318-P,Óculos,Receituário
459701018-P,Óculos,Receituário
457701401-P,Óculos,Solar
460701401-P,Óculos,Solar
460801318-P,Óculos,Receituário
458701401-P,Óculos,Solar
460300318,Óculos,Receituário
206C06GL60-02,Formulado,Anual
460302018-P,Óculos,Receituário
460300302,Óculos,Solar
250010818-P,Óculos,Receituário
460302002-P,Óculos,Solar
460500318-P,Óculos,Receituário
453100601-p,Óculos,Solar
460500307-P,Óculos,Solar
461049202-P,Óculos,Solar
461149218-P,Óculos,Receituário
462600106-P,Óculos,Solar
453001701-p,Óculos,Solar
462640302-P,Óculos,Solar
453200601-P,Óculos,Solar
451201607-P,Óculos,Solar
461149301-P,Óculos,Solar
459000118-P,Óculos,Receituário
462652702-P,Óculos,Solar
462440418-P,Óculos,Receituário
450500303-p,Óculos,Solar
462251907-P,Óculos,Solar
458600618-P,Óculos,Receituário
458600607-P,Óculos,Solar
462552501-P,Óculos,Solar
462552518-P,Óculos,Receituário
200140103-p,Óculos,Receituário
462500718-P,Óculos,Receituário
462500706-P,Óculos,Solar
462051201-P,Óculos,Solar
2010,Acessórios,Acessórios
2011-P,Acessórios,Acessórios
2012-P,Acessórios,Acessórios
460310707-P,Óculos,Solar
458501401-P,Óculos,Solar
460501618-P,Óculos,Receituário
463301402-P,Óculos,Solar
451821218-P,Óculos,Receituário
250000318-p,Óculos,Receituário
250002318-p,Óculos,Receituário
250044518-p,Óculos,Receituário
400014203-p,Óculos,Solar
463353707-P,Óculos,Solar
463251907-P,Óculos,Solar
463251918-P,Óculos,Receituário
463401418-P,Óculos,Receituário
462953502-P,Óculos,Solar
463500306-P,Óculos,Solar
463601410-P,Óculos,Receituário
463601420-P,Óculos,Receituário
463101418-P,Óculos,Receituário
463601425-P,Óculos,Receituário
463600325-P,Óculos,Receituário
463201430-P,Óculos,Solar
463600306-P,Óculos,Solar
450601726-P,Óculos,Solar
463854003-P,Óculos,Solar
463754103-P,Óculos,Solar
205-COMBO,Combo,Combo
454510806-P,Óculos,Solar
41BLUT105-LP,Presbicia,Mensual
41BLUT102-LP,Miopía e Hipermetropía,Mensual
450345418-p,Óculos,Receituário
205-BIOTRUE,Combo,Combo
459001347-P,Óculos,Solar
41CVLB102,Astigmatismo,Mensual
458601606-P,Óculos,Solar
41CVLB101,Miopía e Hipermetropía,Mensual
453200618-P,Óculos,Receituário
458629318-P,Óculos,Receituário
464054403-P,Óculos,Solar
464054303-P,Óculos,Solar
452101318-p,Óculos,Receituário
463954503-P,Óculos,Solar
452240318-p,Óculos,Receituário
452345118-p,Óculos,Receituário
452445118-p,Óculos,Receituário
452540418-p,Óculos,Receituário
452600118-p,Óculos,Receituário
463754203-P,Óculos,Solar
279,Sem Grau,Anual
2709,Óculos,Solar
452601418-p,Óculos,Receituário
21ALAO122-LPZ,Astigmatismo,Mensual
452641218-p,Óculos,Receituário
21ALAO121-LPZ,Miopía e Hipermetropía,Mensual
21ALAO123-LPZ,Presbicia,Mensual
32,Astigmatismo,Mensual
452701401-p,Óculos,Solar
452801701-p,Óculos,Solar
452901701-p,Óculos,Solar
4315,Óculos,Solar
405,Solución,Higienização
453308401-p,Óculos,Solar
453400101-p,Óculos,Solar
453500301-p,Óculos,Solar
453601401-p,Óculos,Solar
205,Miopía e Hipermetropía,Mensual
460104118-P,Óculos,Receituário
454001618-p,Óculos,Receituário
454101418-p,Óculos,Receituário
454301401-p,Óculos,Solar
41JJAC120-LP,Miopía e Hipermetropía,Quincenal
41JJAC125-LP,Astigmatismo,Mensual
458000606-P,Óculos,Solar
34,Astigmatismo,Anual
