sku,type,name,url,url_image
22115,Lentes Oftalmicos,Óculos de grau Ray-Ban RB5279 2000 - Tamanho 55,https://www.newlentes.com.br/produto/oculos-de-grau-ray-ban-rb5279-2000-tamanho-55-82769,https://Newlentes.fbitsstatic.net/img/p/1407836/oculos-de-grau-ray-ban-rb5279-2000-tamanho-55-82769/1407836.jpg?w=800&h=800
450601425-P,Gafas,Pam - Preto,https://www.livo.com.br/produto/pam-preto-152868,https://livo.fbitsstatic.net/img/p/345555/oculos-de-sol-livo-pam-preto-152868/345555-1.jpg?w=800&h=800
204,Lentes de contacto,Lentes de Contato Colorida Natural Look - COM GRAU,https://www.MinhaOticaOnline.com.br/produto/lentes-de-contato-colorida-natural-look-com-grau-68709,https://OneLens.fbitsstatic.net/img/p/289984/lentes-de-contato-colorida-natural-look-com-grau-68709/289984.jpg?w=800&h=800
203,Lentes de contacto,Lentes de Contato Colorida Soflens StarColors II - COM GRAU,https://www.MinhaOticaOnline.com.br/produto/lentes-de-contato-colorida-soflens-starcolors-ii-com-grau-68712,https://OneLens.fbitsstatic.net/img/p/290258/lentes-de-contato-colorida-soflens-starcolors-ii-com-grau-68712/290258.jpg?w=800&h=800
246,Lentes de contacto,Lentes de contato Ultra para Astigmatismo,https://www.livo.com.br/produto/lentes-de-contato-ultra-para-astigmatismo-153528,https://livo.fbitsstatic.net/img/p/365897/lentes-de-contato-ultra-para-astigmatismo-153528/365897-1.jpg?w=800&h=800
4165622T33P,Gafas,Óculos de Sol Ray-Ban Justin RB4165L 622/T3 3P 57,https://www.newlentes.com.br/produto/oculos-de-sol-ray-ban-justin-rb4165l-622-t3-3p-57-129944,https://Newlentes.fbitsstatic.net/img/p/1531929/oculos-de-sol-ray-ban-justin-rb4165l-622-t3-3p-57-129944/1531929.jpg?w=800&h=800
353,Lentes de contacto,Lentes de contato coloridas Biosoft Color,https://www.livo.com.br/produto/lentes-de-contato-coloridas-biosoft-color-153616,https://livo.fbitsstatic.net/img/p/403813/lentes-de-contato-coloridas-biosoft-color-153616/403813-1.jpg?w=800&h=800
461850601-P,Gafas,Estrela - Rosa + Pink,https://www.livo.com.br/produto/estrela-rosa-pink-154071,https://livo.fbitsstatic.net/img/p/433809/estrela-rosa-pink-154071/433809-1.jpg?w=800&h=800
480,Lentes de contacto,Lentes de Contato Natural Vision Mensal,https://www.livo.com.br/produto/lentes-de-contato-natural-vision-mensal-153623,https://livo.fbitsstatic.net/img/p/409639/lentes-de-contato-natural-vision-mensal-153623/409639-1.jpg?w=800&h=800
357,Lentes de contacto,Lentes de contato coloridas Bioblue Color 1-Day - Sem grau,https://www.newlentes.com.br/produto/lentes-de-contato-coloridas-bioblue-color-1-day-sem-grau-134493,https://Newlentes.fbitsstatic.net/img/p/1569864/lentes-de-contato-coloridas-bioblue-color-1-day-sem-grau-134493/1569864.jpg?w=800&h=800
